certificate_id,film_name,cut_no,description,deleted,replaced,inserted
100090842400000145,AAVESHAM,1,Smoking disclaimer videos of both male and female to be played at the beginning and soon after interval. -Inserted,00.00,01.00,00.00
100090842400000145,AAVESHAM,2,"Cuss word MOONCHI to be muted or replaced at TCR 00:32:15, 00:48:20 - Replaced with MUDINJUPOKUM and KALLUKOOCHANALLA",00.02,00.02,00.00
100090842400000145,AAVESHAM,3,"Kannad cuss word BOLI MAGA to be muted or replaced at TCR 02:09:37, 02:22:58 and wherever it occurs. - Muted",00.02,00.02,00.00
100090842400000043,AA RATHRI,1,Reduced the visuals of babu romancing with the lady,00.25,00.00,00.00
100090842400000043,AA RATHRI,2,Deleted the visuals of Cohin Hanifa romancing with the lady,00.08,00.00,00.00
100090842400000043,AA RATHRI,3,Muted the word uttered by Radha,00.00,00.00,00.00
100090842400000043,AA RATHRI,4,Reduced the visuals of bare legs of Radha on the cot,00.08,00.00,00.00
100090842400000043,AA RATHRI,5,Reduced the visuals of Person attempt to seduce Radha,00.19,00.00,00.00
100090842400000043,AA RATHRI,6,Reduced the dead bodies of blood shredded faces of woman and girl at the side of railway track,00.06,00.00,00.00
100090842400000043,AA RATHRI,7,Reduced the romantic visuals of Ravi and Indhu,00.07,00.00,00.00
100090842400000043,AA RATHRI,8,"Deleted the entire ""Maarolsavam...."" singing and dancing by Anuradha with scantly clad and ugly dance movement",05.35,00.00,00.00
100090842400000043,AA RATHRI,9,Deleted the Theatre movie visuals of girl with the bikini dress presence on the sands of the sea shore,00.02,00.00,00.00
100090842400000043,AA RATHRI,10,Deleted the entire movie song bit of Silk Smitha singing and dancing with Kamal Hasan,00.38,00.00,00.00
100090842400000043,AA RATHRI,11,Reduced the fight between Babu and Ravi,00.43,00.00,00.00
100090842400000043,AA RATHRI,12,Reduced the blood shredded face of Ravi,00.03,00.00,00.00
100090842400000043,AA RATHRI,13,Reduced the visuals of Indhu presence in the bathroom under the shower water and inter cut flash shots of Babu and other seducing her,00.28,00.00,00.00
100090842400000043,AA RATHRI,14,Deleted the flash visuals of Babu and other seducing Indhu and her struggling,00.21,00.00,00.00
100090842400000043,AA RATHRI,15,Reduced the visuals of Rowdies fight with Abbu,00.57,00.00,00.00
100090842400000043,AA RATHRI,16,Reduced the court scene visuals of lawyer interrogating Indhu,00.18,00.00,00.00
100090842400000043,AA RATHRI,17,Reduced the visuals of Babu and other person seducing Radha,00.11,00.00,00.00
100090842400000043,AA RATHRI,18,"Reduced the fight between Venu, babu and others",00.18,00.00,00.00
100090842400000043,AA RATHRI,19,Reduced the climax portion of fight,02.41,00.00,00.00
100090842400000114,"M/S POP MEDIA, ERNAKULAM",1,"Smoking video disclaimer of ""male"" to be inserted at the beginning. - Inserted",00.30,00.30,00.00
100090842400000114,"M/S POP MEDIA, ERNAKULAM",2,Alcohol consumption disclaimer to be inserted at TCR:4:55 onwards TCR:12:39 onwards. - Inserted,00.48,00.48,00.00
100090842400000114,"M/S POP MEDIA, ERNAKULAM",3,Smoking and Alcohol disclaimer to be shown prominently wherever it occurs. - Inserted prominently,07.32,07.32,00.00
100090842400000114,"M/S POP MEDIA, ERNAKULAM",4,"The radio news audio related to Prime Minister and programs of Central Government from TCR:27:48 to TCR:28:06 to be muted or replaced (As per ECI""s order no.491/MM/2019/Comm. dated 10th April 2019 as MCC is in force.)",01.13,01.13,00.00
